"year","make","model","mileage","normalized_color","transmission","sold_price","bid_amount","end_date","bidders","watchers","comments","status"
"1959","Ferrari","250GT Series I Pinin Farina Coupe","2","Gray","null","null","406000","2017-01-03 05:00:00","11","0","251","unsold"
"1998","Ferrari","F355 Spider 6-Speed","29000","Red","manual","59500","59500","2019-07-12 04:00:00","33","1149","58","sold"
"2000","Ferrari","360 Modena 6-Speed","19000","Black","manual","95600","95600","2017-06-01 04:00:00","29","525","211","sold"
"1972","Ferrari","Dino 246 GT","26000","Blue","automatic","380000","380000","2019-11-27 05:00:00","26","2475","347","sold"
"2008","Ferrari","612 Scaglietti","9300","Blue","automatic","null","77000","2019-08-28 04:00:00","9","724","50","unsold"
"1991","Ferrari","Testarossa","51000","Red","manual","null","63500","2019-10-22 04:00:00","15","864","72","unsold"
"1967","Ferrari","330GT 2+2","500","Black","manual","140000","140000","2019-07-09 04:00:00","26","1505","143","sold"
"1997","Ferrari","550 Maranello","13000","Red","manual","128997","128997","2019-08-09 04:00:00","22","960","68","sold"
"2002","Ferrari","575M Maranello","12000","Blue","automatic","90000","90000","2019-09-26 04:00:00","41","649","41","sold"
"1999","BMW","540i 6-Speed","125000","Black","manual","10250","10250","2024-10-12 04:00:00","60","477","38","sold"
"1988","BMW","M3 Track Car","146000","Silver","manual","35250","35250","2023-04-04 04:00:00","7","781","53","sold"
"2003","BMW","M5","65000","Silver","manual","40500","40500","2023-04-04 04:00:00","10","816","41","sold"
"2011","BMW","M3 Coupe Competition Package 6-Speed","52000","White","manual","38750","38750","2023-04-03 04:00:00","35","869","57","sold"
"1979","Ferrari","308 GT4","56000","Black","manual","48000","48000","2019-09-11 04:00:00","24","892","124","sold"
"2016","Porsche","Cayenne","57000","Blue","automatic","28000","28000","2024-03-10 05:00:00","12","360","15","sold"
"1991","BMW","318is 5-Speed","115000","Red","manual","34000","34000","2023-04-14 04:00:00","30","717","144","sold"
"2004","BMW","325Ci Convertible","55000","Silver","automatic","9800","9800","2023-04-14 04:00:00","40","336","16","sold"
"1984","BMW","323i Baur TC 5-Speed","128000","Gray","manual","null","18500","2023-04-14 04:00:00","45","580","78","unsold"
"1986","Ferrari","Testarossa","1000","Red","manual","100500","100500","2021-03-16 04:00:00","29","1875","61","sold"
"2006","BMW","M6 Coupe","58000","Silver","automatic","17669","17669","2023-04-14 04:00:00","24","381","51","sold"
"1966","BMW","R50/2","8000","Black","manual","30000","30000","2023-04-14 04:00:00","28","565","65","sold"
"1993","BMW","850Ci","65000","Black","automatic","18027","18027","2024-05-30 04:00:00","13","735","27","sold"
"2002","BMW","M3 Coupe 6-Speed","101000","Blue","manual","31250","31250","2023-04-14 04:00:00","51","872","87","sold"
"1959","BMW","Isetta 300","12000","Red","manual","26750","26750","2023-04-14 04:00:00","29","587","25","sold"
"1991","BMW","325i Convertible M-Technic II","71000","White","automatic","26750","26750","2023-04-14 04:00:00","28","462","75","sold"
"2011","BMW","M3 Coupe","21000","White","automatic","null","39999","2022-09-01 04:00:00","22","518","21","unsold"
"1996","Porsche","911 Carrera 4S Coupe 6-Speed","69000","Black","manual","null","127000","2025-01-10 05:00:00","27","1645","64","unsold"
"2010","Ferrari","California","6000","Red","automatic","98023","98023","2022-12-30 05:00:00","53","1183","76","sold"
"2004","BMW","M3 Convertible 6-Speed","107000","Black","manual","18250","18250","2023-04-13 04:00:00","44","647","34","sold"
"2007","BMW","335i Convertible Sport","18000","Silver","automatic","20500","20500","2023-04-13 04:00:00","5","333","21","sold"
"2007","BMW","760Li","39000","Black","automatic","21140","21140","2023-04-13 04:00:00","37","536","65","sold"
"2003","BMW","330Ci Convertible 5-Speed","85000","Blue","manual","15000","15000","2023-04-13 04:00:00","26","586","43","sold"
"2018","BMW","M240i xDrive Convertible","28000","Orange","automatic","36750","36750","2023-04-13 04:00:00","14","278","14","sold"
"2004","BMW","M3 Convertible 6-Speed","98000","Black","manual","20001","20001","2023-04-13 04:00:00","33","593","45","sold"
"1974","BMW","2002tii","79000","Blue","manual","null","23500","2023-04-13 04:00:00","29","1097","59","unsold"
"1985","BMW","320i 5-Speed","74000","White","manual","17000","17000","2022-09-20 04:00:00","14","576","61","sold"
"2022","BMW","M5 CS","106","Green","automatic","165000","165000","2022-08-18 04:00:00","13","627","71","sold"
"1975","BMW","2002 Baur Cabriolet","5300","Yellow","manual","null","34000","2022-08-14 04:00:00","34","873","80","unsold"
"1983","Porsche","911SC Coupe","151000","Silver","manual","42000","42000","2024-03-10 05:00:00","14","1230","54","sold"
"2005","Porsche","911 Turbo S Coupe 6-Speed","68000","Black","manual","77000","77000","2024-03-17 04:00:00","24","1100","100","sold"
"2003","BMW","M3 Convertible 6-Speed","62000","Red","manual","27500","27500","2023-11-19 05:00:00","46","551","40","sold"
"2005","Ferrari","F430","13000","Blue","automatic","null","114000","2024-09-29 04:00:00","43","1501","134","unsold"
"2002","BMW","Z8","8000","Black","manual","198000","198000","2023-09-04 04:00:00","33","820","56","sold"
"2016","Porsche","Cayenne Diesel","67000","White","automatic","39000","39000","2024-03-09 05:00:00","38","801","64","sold"
"2018","Porsche","911 Turbo S Cabriolet","7000","Silver","automatic","165000","165000","2024-03-09 05:00:00","22","765","22","sold"
"1993","BMW","M5 Touring","137000","Purple","manual","60000","60000","2022-08-03 04:00:00","50","1476","110","sold"
"2018","BMW","M4 Competition Package","38000","Silver","automatic","null","38250","2022-09-02 04:00:00","40","649","43","unsold"
"1982","BMW","320/6 5-Speed","71000","Gray","manual","12000","12000","2022-10-11 04:00:00","37","537","57","sold"
"1974","Ferrari","Dino 246 GTS Chairs & Flares","57000","Gray","manual","853000","853000","2022-08-01 04:00:00","18","3487","402","sold"
"2012","Porsche","911 Carrera 4 GTS Coupe","47000","Silver","automatic","null","72000","2023-04-27 04:00:00","19","1077","88","unsold"
"1991","BMW","325i Convertible 5-Speed","137000","Red","manual","12650","12650","2022-11-12 05:00:00","8","449","27","sold"
"1998","Ferrari","F355 Spider 6-Speed","16000","Black","manual","106000","106000","2022-08-18 04:00:00","52","1099","71","sold"
"2019","Porsche","911 Carrera GTS Coupe","19000","Blue","automatic","123000","123000","2023-11-17 05:00:00","25","1142","80","sold"
"1974","Porsche","914 5-Speed","0","Silver","manual","24000","24000","2023-11-15 05:00:00","18","1603","81","sold"
"2001","BMW","M Roadster S54","37000","Gray","manual","27000","27000","2023-10-27 04:00:00","13","751","64","sold"
"1985","BMW","528e 5-Speed","108000","Blue","manual","14350","14350","2022-08-28 04:00:00","28","642","51","sold"
"2003","BMW","325i Sport Wagon 6-Speed","100","Silver","manual","39750","39750","2022-08-30 04:00:00","45","887","70","sold"
"2004","BMW","M3 Coupe 6-Speed","49000","Black","manual","50000","50000","2023-07-28 04:00:00","43","749","38","sold"
"2008","Porsche","911 Carrera Cabriolet 6-Speed","49000","Blue","manual","50000","50000","2024-03-09 05:00:00","17","1174","40","sold"
"1986","Porsche","928S","92000","Gray","automatic","20001","20001","2024-03-09 05:00:00","24","715","49","sold"
"2003","BMW","M3 Coupe","154000","Silver","automatic","15250","15250","2023-04-12 04:00:00","47","754","41","sold"
"2021","BMW","M4 Competition Coupe","15000","Gray","automatic","null","66300","2023-04-12 04:00:00","19","617","47","unsold"
"1987","BMW","M3 6-Speed","76000","White","manual","75000","75000","2023-04-12 04:00:00","9","1220","139","sold"
"1994","BMW","M3 Coupe 5-Speed","79000","Blue","manual","null","29500","2023-04-11 04:00:00","44","818","120","unsold"
"2001","BMW","Z8","23000","Silver","manual","182000","182000","2023-04-11 04:00:00","4","842","45","sold"
"2021","BMW","Alpina B7 xDrive","7000","Blue","automatic","98000","98000","2023-04-11 04:00:00","46","964","68","sold"
"1968","BMW","R60/2","31000","Black","manual","16250","16250","2023-04-11 04:00:00","21","561","45","sold"
"2011","BMW","328i Sports Wagon M Sport 6-Speed","54000","White","manual","35000","35000","2023-04-11 04:00:00","16","752","119","sold"
"2003","BMW","540i M Sport 6-Speed","125000","Black","manual","18000","18000","2023-04-11 04:00:00","13","643","36","sold"
"2003","BMW","Z4 Roadster 2.5i","33000","Blue","automatic","15250","15250","2023-04-10 04:00:00","14","373","33","sold"
"1974","BMW","3.0CS 4-Speed","70000","Gray","manual","77500","77500","2022-11-02 04:00:00","34","1251","60","sold"
"1991","BMW","M5","187000","Black","manual","null","15507","2022-10-26 04:00:00","35","467","80","unsold"
"2008","BMW","M6 Convertible","30000","Silver","automatic","null","27000","2022-08-19 04:00:00","15","417","16","unsold"
"2006","Porsche","911 Carrera S Coupe","18000","Black","automatic","null","40000","2024-03-09 05:00:00","40","1114","29","unsold"
"1970","Ferrari","Dino 246 GT","45000","Red","manual","356000","356000","2022-09-23 04:00:00","47","2297","154","sold"
"2002","BMW","M3 Coupe 6-Speed","137000","Black","manual","null","24000","2023-11-22 05:00:00","26","581","61","unsold"
"1977","BMW","R100RS","595","Silver","manual","10000","10000","2023-10-13 04:00:00","19","481","59","sold"
"1987","Porsche","911 Carrera Coupe G50","100000","White","manual","null","66000","2023-11-22 05:00:00","22","930","35","unsold"
"2006","BMW","530xi Sports Wagon","104000","Silver","automatic","9200","9200","2023-04-14 04:00:00","36","424","46","sold"
"2002","BMW","Z3 3.0i Coupe","29000","Red","automatic","null","17750","2023-12-17 05:00:00","27","485","16","unsold"
"1999","Ferrari","360 Modena","34000","Yellow","automatic","75000","75000","2022-09-13 04:00:00","24","799","58","sold"
"1972","BMW","R75/5","17000","Blue","manual","7750","7750","2023-04-10 04:00:00","7","471","30","sold"
"1972","BMW","3.0 CSL","73000","Blue","manual","null","68000","2023-04-10 04:00:00","23","1713","57","unsold"
"2009","Ferrari","F430 Spider","10000","Gray","automatic","null","136000","2022-09-02 04:00:00","35","923","49","unsold"
"1988","Porsche","944S","88000","Brown","manual","19944","19944","2024-03-09 05:00:00","44","882","112","sold"
"2006","BMW","M3 Coupe Competition Package 6-Speed","26000","Gray","manual","null","65546","2022-08-10 04:00:00","11","989","77","unsold"
"1971","Porsche","911T Coupe","43000","Gray","manual","113000","113000","2024-03-09 05:00:00","29","2401","113","sold"
"1987","BMW","316 Sedan 5-Speed","56000","Green","manual","15751","15751","2022-09-07 04:00:00","23","444","75","sold"
"1995","BMW","M3 Coupe 5-Speed","162000","Red","manual","17250","17250","2023-04-10 04:00:00","29","752","37","sold"
"2019","BMW","M2 Competition 6-Speed","23000","Silver","manual","50000","50000","2023-04-10 04:00:00","17","768","35","sold"
"1989","BMW","325i Touring 5-Speed","195000","Black","manual","23250","23250","2023-04-10 04:00:00","25","1104","49","sold"
"2017","BMW","M3 Competition Package 6-Speed","21000","White","manual","46000","46000","2022-09-17 04:00:00","9","516","26","sold"
"2001","Ferrari","360 Modena 6-Speed","9000","Red","manual","null","106000","2022-11-13 05:00:00","7","1292","56","unsold"
"1999","Ferrari","F355 GTS","42000","Red","automatic","93350","93350","2022-10-12 04:00:00","44","1304","68","sold"
"1996","BMW","R100GS PD","18000","Red","manual","10057","10057","2023-11-05 04:00:00","6","402","45","sold"
"2005","BMW","M3 Coupe Competition Package 6-Speed","19000","Blue","manual","78000","78000","2022-09-06 04:00:00","28","1068","71","sold"
"1992","BMW","325i Convertible","161000","White","automatic","8500","8500","2022-09-09 04:00:00","43","490","71","sold"
"2008","BMW","650i Coupe 6-Speed","61000","White","manual","20000","20000","2022-09-07 04:00:00","25","385","41","sold"
"1986","Ferrari","Testarossa","17000","Red","manual","null","165070","2022-10-02 04:00:00","32","1176","90","unsold"
"1971","BMW","2800CS 5-Speed","61000","Beige","manual","60000","60000","2023-04-01 04:00:00","10","1103","38","sold"
"1957","BMW","503 Coupe","650","Red","manual","270000","270000","2023-04-10 04:00:00","83","1768","198","sold"
"2001","BMW","740iL Sport","81000","Silver","automatic","12000","12000","2022-09-23 04:00:00","9","478","41","sold"
"2004","BMW","M3 Convertible","87000","Black","automatic","18000","18000","2023-01-20 05:00:00","35","613","43","sold"
"1967","BMW","2000CS Project","96000","White","manual","10250","10250","2024-06-18 04:00:00","11","511","31","sold"
"1988","BMW","M3","98000","Black","manual","null","42000","2022-09-29 04:00:00","22","773","46","unsold"
"2008","BMW","M3 Sedan 6-Speed","45000","Black","manual","null","31750","2023-04-09 04:00:00","24","600","45","unsold"
"1990","BMW","M3","105000","Silver","manual","null","70000","2023-04-09 04:00:00","28","1117","64","unsold"
"2003","BMW","M5","167000","Gray","manual","30250","30250","2023-04-09 04:00:00","23","833","53","sold"
"1976","BMW","2002 5-Speed","80000","Green","manual","15600","15600","2023-04-09 04:00:00","15","761","62","sold"
"2001","BMW","M Roadster S54","56000","Blue","manual","26500","26500","2023-04-09 04:00:00","35","699","56","sold"
"2008","BMW","M5 6-Speed","58000","Black","manual","37777","37777","2023-04-09 04:00:00","38","528","48","sold"
"2013","BMW","135is Coupe","30000","White","automatic","24350","24350","2023-04-09 04:00:00","10","414","55","sold"
"1998","BMW","M3 Sedan 5-Speed","122000","Silver","manual","20650","20650","2023-04-09 04:00:00","27","726","28","sold"
"1999","BMW","528i","56000","Blue","automatic","12750","12750","2024-07-22 04:00:00","33","380","19","sold"
"2006","Porsche","911 Carrera S Cabriolet","52000","Black","manual","null","30250","2023-12-03 05:00:00","38","922","24","unsold"
"2003","BMW","325i Sport Wagon 6-Speed","134000","Gray","manual","37250","37250","2022-11-11 05:00:00","35","1014","77","sold"
"1989","BMW","318i Touring 5-Speed","159000","White","manual","7700","7700","2022-10-14 04:00:00","13","540","104","sold"
"2022","BMW","M5 CS","84","Gray","automatic","null","150000","2022-09-13 04:00:00","4","437","33","unsold"
"2003","BMW","M3 Coupe 6-Speed","97000","Silver","manual","23500","23500","2022-09-08 04:00:00","25","707","25","sold"
"1999","BMW","Z3 2.3 5-Speed","64000","Gray","manual","7800","7800","2024-04-23 04:00:00","24","428","28","sold"
"1970","Porsche","911E Targa","9000","Orange","manual","64000","64000","2023-11-02 04:00:00","53","1010","46","sold"
"2004","BMW","330i ZHP Sedan","101000","Black","automatic","13201","13201","2023-04-08 04:00:00","22","393","45","sold"
"2018","Porsche","Macan GTS","27000","Silver","automatic","40500","40500","2024-12-19 05:00:00","39","751","27","sold"
"2006","BMW","M3 Coupe Competition Package","72000","Silver","automatic","null","20502","2022-10-16 04:00:00","19","651","25","unsold"
"1989","BMW","325i Convertible","86000","White","automatic","15752","15752","2023-04-08 04:00:00","34","485","17","sold"
"2000","BMW","M Roadster","88000","Green","manual","23750","23750","2023-04-08 04:00:00","14","661","48","sold"
"1993","BMW","318i Touring Design Edition 5-Speed","177000","Green","manual","22100","22100","2023-04-08 04:00:00","36","559","70","sold"
"1986","Porsche","911 Turbo Coupe","59000","Red","manual","null","113000","2024-12-16 05:00:00","13","1450","47","unsold"
"2003","BMW","540i M Sport 6-Speed","57000","Blue","manual","19500","19500","2023-05-16 04:00:00","18","726","80","sold"
"1995","BMW","M3 Coupe 5-Speed","70000","Yellow","manual","27500","27500","2023-08-18 04:00:00","15","607","32","sold"
"2000","Porsche","Boxster 5-Speed","26000","Black","manual","null","15500","2023-07-22 04:00:00","29","471","35","unsold"
"1990","Ferrari","Testarossa","10000","Red","manual","null","147000","2023-12-22 05:00:00","24","1045","32","unsold"
"2010","Porsche","911 GT3","41000","White","manual","174000","174000","2024-01-24 05:00:00","38","1457","140","sold"
"2005","BMW","325i Sport Wagon 6-Speed","132000","Blue","manual","null","26000","2024-03-24 04:00:00","27","1152","48","unsold"
"2007","BMW","M6 Coupe 6-Speed","44000","Silver","manual","42069","42069","2023-04-08 04:00:00","45","589","39","sold"
"2016","Porsche","Cayman S","20000","Black","automatic","null","61000","2023-08-05 04:00:00","7","889","57","unsold"
"2013","BMW","M3 Coupe Competition Package 6-Speed","31000","Blue","manual","52500","52500","2022-09-28 04:00:00","40","781","35","sold"
"1973","Ferrari","Dino 246 GTS","30000","Yellow","manual","438000","438000","2022-12-22 05:00:00","37","2165","437","sold"
"1977","BMW","R75/7","47000","Blue","manual","3000","3000","2023-04-08 04:00:00","8","396","18","sold"
"1986","BMW","Alpina B6 2.8/1","88000","Red","manual","81500","81500","2023-04-07 04:00:00","53","1161","108","sold"
"1959","Porsche","356A 1600S Coupe","28000","Gray","manual","159356","159356","2024-01-29 05:00:00","25","1660","63","sold"
"2005","Porsche","911 Turbo S Cabriolet 6-Speed","44000","Silver","manual","90500","90500","2024-02-03 05:00:00","38","687","80","sold"
"1997","BMW","840Ci","59000","White","automatic","35000","35000","2022-10-04 04:00:00","20","839","59","sold"
"2000","BMW","M Roadster","12000","Blue","manual","29000","29000","2022-10-13 04:00:00","25","573","49","sold"
"1968","BMW","R69S","34000","Black","manual","17300","17300","2022-10-10 04:00:00","13","533","35","sold"
"2014","Porsche","911 Carrera S Coupe","20000","White","automatic","79000","79000","2023-12-04 05:00:00","26","1079","52","sold"
"2004","Porsche","911 Turbo Cabriolet 6-Speed","15000","Silver","manual","null","63000","2023-11-24 05:00:00","20","582","38","unsold"
"1956","BMW","Isetta 300 Bubble Window","19000","Blue","manual","34501","34501","2023-11-17 05:00:00","25","460","49","sold"
"2007","Porsche","911 Turbo Coupe 6-Speed","19000","Silver","manual","136555","136555","2023-04-23 04:00:00","46","1188","134","sold"
"2011","BMW","335i xDrive Sedan M Sport 6-Speed","65000","Blue","manual","16500","16500","2023-05-31 04:00:00","33","475","31","sold"
"2001","BMW","Z8","12000","Silver","manual","183000","183000","2023-07-22 04:00:00","24","856","34","sold"
"2013","Ferrari","458 Spider","16000","Red","automatic","null","223000","2023-03-21 04:00:00","17","871","83","unsold"
"1973","BMW","3.0CS 5-Speed","84000","Brown","manual","146000","146000","2022-10-25 04:00:00","30","1204","192","sold"
"2015","BMW","i8","34000","White","automatic","66500","66500","2022-10-18 04:00:00","32","801","58","sold"
"2005","BMW","Z4 Roadster 3.0i","59000","Gray","automatic","18000","18000","2023-04-07 04:00:00","27","543","42","sold"
"2008","BMW","535xi Sports Wagon","126000","Silver","automatic","13125","13125","2023-04-07 04:00:00","42","534","63","sold"
"2010","BMW","M3 Sedan","49000","Gray","automatic","32010","32010","2023-04-07 04:00:00","22","645","63","sold"
"1972","BMW","3.0CS 5-Speed","4000","White","manual","null","65500","2023-04-07 04:00:00","33","1667","110","unsold"
"1981","BMW","R80 G/S","3400","White","manual","42500","42500","2023-04-07 04:00:00","51","628","139","sold"
"2011","BMW","M3 Sedan Competition Package","75000","Gray","automatic","null","34000","2023-04-06 04:00:00","35","782","120","unsold"
"2006","Ferrari","F430","21000","Red","automatic","118000","118000","2023-04-17 04:00:00","26","1232","82","sold"
"2016","Porsche","911 Carrera S Cabriolet","23000","Blue","automatic","73500","73500","2023-11-09 05:00:00","13","776","12","sold"
"2016","Porsche","Cayenne Diesel","22000","White","automatic","53500","53500","2024-05-12 04:00:00","16","616","73","sold"
"1972","BMW","3.0 CSL","10000","Green","manual","null","180000","2024-03-20 04:00:00","33","1632","124","unsold"
"2022","Porsche","911 Targa 4S","2400","Green","automatic","180992","180992","2024-02-14 05:00:00","28","1296","45","sold"
"2010","BMW","535i xDrive Sports Wagon","86000","Silver","automatic","19750","19750","2023-04-06 04:00:00","30","614","56","sold"
"1996","BMW","Z3 1.9 5-Speed","9000","Black","manual","null","10355","2023-04-07 04:00:00","34","454","53","unsold"
"2006","BMW","M3 Convertible","181000","Red","automatic","13000","13000","2023-05-27 04:00:00","35","556","26","sold"
"2004","BMW","330Ci ZHP Convertible 6-Speed","60000","Gray","manual","18750","18750","2023-05-21 04:00:00","42","574","59","sold"
"1974","Ferrari","Dino 246 GTS Chairs & Flares","77000","Red","manual","690000","690000","2023-05-24 04:00:00","53","2267","177","sold"
"2003","BMW","M3 Convertible 6-Speed","88000","Blue","manual","22750","22750","2023-04-06 04:00:00","26","667","61","sold"
"2019","BMW","R1250GS Adventure HP","814","Blue","automatic","23750","23750","2023-04-06 04:00:00","21","549","68","sold"
"2008","BMW","335i Convertible Sport","46000","Black","automatic","18250","18250","2023-04-06 04:00:00","25","431","14","sold"
"2014","BMW","M6 Convertible","27000","Blue","automatic","52000","52000","2023-04-06 04:00:00","25","447","42","sold"
"2017","BMW","R nineT Racer","3400","Silver","automatic","7600","7600","2023-04-06 04:00:00","23","621","48","sold"
"2002","BMW","M3 Convertible 6-Speed","2000","Black","manual","null","20250","2022-11-11 05:00:00","13","555","24","unsold"
"1990","Porsche","944 S2 Coupe","111000","Black","manual","39000","39000","2024-01-25 05:00:00","39","994","83","sold"
"1968","Ferrari","330 GTS","27000","Silver","manual","null","1950000","2025-02-23 05:00:00","35","3181","197","unsold"
"2002","Porsche","911 Turbo Coupe 6-Speed","99000","Silver","manual","49911","49911","2024-01-20 05:00:00","40","966","77","sold"
"1989","BMW","325i Sedan 3.2L 5-Speed","54000","Black","manual","20500","20500","2022-10-15 04:00:00","46","609","76","sold"
"1987","BMW","325i Convertible 5-Speed","94000","Red","manual","15500","15500","2022-10-13 04:00:00","45","562","29","sold"
"1998","Ferrari","F355 Spider 6-Speed","23000","Red","manual","114000","114000","2022-11-15 05:00:00","47","1357","140","sold"
"2011","BMW","M3 Coupe","90000","White","automatic","null","25250","2023-04-06 04:00:00","2","383","18","unsold"
"2006","BMW","M6 Coupe","73000","Red","automatic","21069","21069","2023-07-06 04:00:00","48","454","42","sold"
"2011","BMW","135i Coupe M Sport 6-Speed","54000","Silver","manual","25000","25000","2023-01-06 05:00:00","12","703","45","sold"
"2007","BMW","Z4 M Coupe","22000","Black","manual","40000","40000","2023-04-06 04:00:00","14","780","39","sold"
"1992","BMW","850i","123000","Green","automatic","13750","13750","2023-04-06 04:00:00","4","581","36","sold"
"2004","Porsche","Boxster S 6-Speed","102000","Gray","manual","null","8500","2024-12-14 05:00:00","10","685","27","unsold"
"1992","BMW","318i Convertible 5-Speed","132000","White","manual","null","8670","2023-04-06 04:00:00","20","347","69","unsold"
"1998","BMW","M3 Coupe 5-Speed","58000","Red","manual","35950","35950","2023-04-06 04:00:00","48","817","75","sold"
"2008","Ferrari","430 Scuderia","21000","Gray","automatic","228000","228000","2023-02-24 05:00:00","30","1536","82","sold"
"2003","BMW","M3 Convertible","59000","Silver","automatic","24000","24000","2023-04-05 04:00:00","25","616","45","sold"
"2013","BMW","328i Sedan M Sport 6-Speed","73000","White","manual","13250","13250","2023-04-05 04:00:00","21","396","20","sold"
"1995","BMW","840Ci","39000","Green","automatic","36000","36000","2023-04-05 04:00:00","28","934","80","sold"
"1992","BMW","325i Convertible","41000","Blue","automatic","null","14250","2023-04-05 04:00:00","17","433","40","unsold"
"1997","BMW","328i Sedan","23000","Red","automatic","null","9800","2023-04-05 04:00:00","10","208","26","unsold"
"2017","BMW","M2 Track Car","20000","Blue","automatic","48250","48250","2023-04-05 04:00:00","24","558","51","sold"
"1995","BMW","M5 Touring","108000","Blue","manual","null","41444","2023-04-05 04:00:00","51","1030","85","unsold"
"1985","Porsche","911 Carrera Targa","62000","Red","manual","81325","81325","2024-08-01 04:00:00","13","815","58","sold"
"2002","BMW","M5","99000","Black","manual","28654","28654","2022-11-01 04:00:00","32","633","47","sold"
"2021","Porsche","911 Carrera S Coupe 7-Speed","2500","Green","manual","136500","136500","2024-01-16 05:00:00","14","906","46","sold"
"2010","Ferrari","599 GTB Fiorano 6-Speed Conversion","7000","Black","manual","null","172500","2024-07-31 04:00:00","12","997","96","unsold"
"2007","Porsche","Cayman S 6-Speed","6000","Gray","manual","42500","42500","2023-03-29 04:00:00","24","1151","71","sold"
"1992","BMW","325i Convertible 5-Speed","82000","Black","manual","null","11250","2022-10-02 04:00:00","43","474","42","unsold"
"1997","BMW","318ti 5-Speed","98000","Black","manual","15000","15000","2024-03-29 04:00:00","33","376","50","sold"
"2016","Porsche","Panamera GTS","75000","Silver","automatic","38750","38750","2024-02-06 05:00:00","45","1162","47","sold"
"1980","BMW","528i 5-Speed","90000","Green","manual","8100","8100","2022-10-30 04:00:00","17","452","38","sold"
"1988","BMW","M3","100000","Silver","manual","null","67500","2022-12-13 05:00:00","23","1065","78","unsold"
"2016","BMW","i8 Coupe","12000","Blue","automatic","null","62000","2023-04-04 04:00:00","36","708","47","unsold"
"1997","BMW","Z3 1.9 5-Speed","21000","Green","manual","9800","9800","2023-04-04 04:00:00","9","499","43","sold"
"2001","BMW","325i Sport Wagon","129000","White","automatic","6600","6600","2023-04-04 04:00:00","26","587","41","sold"
"2019","BMW","M850i xDrive Coupe","12000","Black","automatic","55000","55000","2023-11-29 05:00:00","33","641","32","sold"
"2022","Porsche","911 GT3 6-Speed","619","Gray","manual","225000","225000","2023-11-14 05:00:00","23","1416","45","sold"
"2001","BMW","R1150GS","10000","Yellow","manual","5675","5675","2024-03-29 04:00:00","17","418","36","sold"
"1987","BMW","325i Convertible 5-Speed","104000","Red","manual","14000","14000","2022-11-05 04:00:00","46","428","41","sold"
"1996","Ferrari","F355 Spider 6-Speed","34000","Red","manual","85000","85000","2022-10-31 04:00:00","18","971","66","sold"
"1973","Porsche","911T Coupe","41000","Blue","manual","78500","78500","2023-11-25 05:00:00","15","1528","89","sold"
"1973","BMW","R60/5","19000","Gold","manual","20250","20250","2023-02-25 05:00:00","38","565","79","sold"
"1996","Porsche","911 Turbo","20000","Blue","manual","280000","280000","2023-10-30 04:00:00","42","1876","71","sold"
"2004","BMW","K1200RS","24000","White","manual","5000","5000","2023-04-04 04:00:00","12","454","93","sold"
"2007","BMW","X5 4.8i","27000","Gray","automatic","22000","22000","2023-04-04 04:00:00","43","641","22","sold"
"1974","Porsche","911 Coupe","50000","Red","manual","42500","42500","2023-04-13 04:00:00","28","1179","70","sold"
"1997","BMW","528i","114000","Silver","automatic","6500","6500","2023-04-04 04:00:00","20","279","26","sold"
"2002","BMW","M3 Convertible 6-Speed","151000","Blue","manual","16750","16750","2023-04-04 04:00:00","24","805","145","sold"
"2007","BMW","335i Convertible Sport","18000","Silver","automatic","null","17500","null","0","784","30","unsold"
"1991","BMW","850i","65000","White","automatic","19500","19500","2023-03-17 04:00:00","24","824","27","sold"
"1958","BMW","Isetta 300","37000","Burgundy","manual","25250","25250","2023-03-17 04:00:00","29","610","24","sold"
"2016","BMW","328i xDrive Sports Wagon M Sport","54000","Red","automatic","32500","32500","2023-03-17 04:00:00","16","704","88","sold"
"2004","BMW","M3 Convertible","70000","Silver","automatic","null","17250","2023-03-17 04:00:00","22","579","25","unsold"
"2000","BMW","740iL Highline","49000","Gray","automatic","17250","17250","2023-03-17 04:00:00","19","625","39","sold"
"2015","BMW","335i xDrive M Sport 6-Speed","56000","White","manual","25000","25000","2023-03-17 04:00:00","33","514","38","sold"
"1988","BMW","635CSi Project","133000","Red","automatic","7000","7000","2023-04-03 04:00:00","15","542","43","sold"
"1997","BMW","316i Compact 5-Speed","7000","Black","manual","12316","12316","2023-04-03 04:00:00","11","315","44","sold"
"2005","BMW","M3 Coupe 6-Speed","144000","Black","manual","21000","21000","2023-04-03 04:00:00","22","639","31","sold"
"2011","BMW","335i M Sport Convertible","23000","Silver","automatic","30000","30000","2023-04-03 04:00:00","32","409","15","sold"
"2008","BMW","M3 Convertible 6-Speed","43000","Black","manual","34000","34000","2023-04-02 04:00:00","26","472","39","sold"
"2008","BMW","M6 Convertible","69000","Silver","automatic","21500","21500","2023-04-02 04:00:00","44","515","40","sold"
"2002","BMW","M5","103000","Gray","manual","28500","28500","2023-04-02 04:00:00","29","837","34","sold"
"1995","BMW","850CSi","16000","Black","manual","266000","266000","2023-04-02 04:00:00","61","1550","326","sold"
"1976","BMW","2002 5-Speed","26000","Green","manual","null","13000","2023-04-02 04:00:00","37","845","42","unsold"
"1988","BMW","M3","81000","Silver","manual","112000","112000","2023-04-02 04:00:00","32","1352","105","sold"
"1994","BMW","316i Touring Design Edition 5-Speed","117000","Black","manual","18000","18000","2023-04-01 04:00:00","8","605","24","sold"
