"year","make","model","mileage","normalized_color","transmission","sold_price","bid_amount","end_date","bidders","watchers","comments","status"
"2010","Porsche","911 GT3 RS","23000","Gray","manual","256000","256000","2024-11-29 05:00:00","50","1993","102","sold"
"2011","Porsche","911 Turbo S Cabriolet","37000","Black","automatic","83000","83000","2024-11-27 05:00:00","21","982","44","sold"
"2014","Porsche","911 50th Anniversary Edition 7-Speed","9000","Gray","manual","165000","165000","2024-11-26 05:00:00","29","1184","74","sold"
"2018","Porsche","Panamera 4S","25000","Gray","automatic","43500","43500","2024-11-26 05:00:00","42","892","37","sold"
"1976","Porsche","911S Targa","86000","Silver","manual","85123","85123","2024-11-26 05:00:00","55","1391","59","sold"
"2003","Porsche","911 Carrera Cabriolet 6-Speed","34000","Gray","manual","null","28500","2024-11-18 05:00:00","29","558","38","unsold"
"1998","Porsche","911 Carrera S Coupe 6-Speed","75000","Silver","manual","155999","155999","2024-11-18 05:00:00","7","1732","78","sold"
"2004","Porsche","Cayenne Turbo","103000","Gray","automatic","20251","20251","2024-11-18 05:00:00","39","415","19","sold"
"2015","Porsche","911 GT3","12000","White","automatic","72116","72116","2024-11-18 05:00:00","41","1188","174","sold"
"1986","Porsche","944 Turbo","69000","Red","manual","30944","30944","2024-11-18 05:00:00","32","876","33","sold"
"2003","Porsche","Boxster","92000","Silver","manual","9900","9900","2024-11-18 05:00:00","41","565","19","sold"
"1970","Porsche","911T Coupe 5-Speed","74000","Black","manual","null","65500","2024-11-18 05:00:00","11","1232","54","unsold"
"2007","Porsche","911 Turbo Coupe 6-Speed","37000","Black","manual","106601","106601","2024-11-25 05:00:00","33","1020","52","sold"
"1967","Porsche","912 Coupe","76000","Blue","manual","65500","65500","2024-11-25 05:00:00","27","1347","66","sold"
"1957","Porsche","356A Coupe Project","null","Blue","manual","54000","54000","2024-11-25 05:00:00","41","977","53","sold"
"1999","Porsche","911 Carrera Coupe 6-Speed","47000","Yellow","manual","40100","40100","2024-11-25 05:00:00","19","768","51","sold"
"1986","Porsche","944 Challenge","79000","White","manual","21250","21250","2024-11-25 05:00:00","17","663","38","sold"
